ID,NomPdt,Description,Categorie,Effort,Saison,Tags
1,Nuit dans une cabane dans les arbres,Passez une nuit inoubliable dans une cabane perchée dans les arbres de la forêt avec un calme absolu.,Nature & Détente,Faible,Printemps/Été,"forêt, calme, insolite, nature, couple"
2,Stage de survie en forêt,"Apprenez les techniques de survie en forêt, comment faire du feu et trouver de l'eau en pleine nature.",Aventure & Sport,Intense,Toutes,"survie, feu, adrénaline, groupe, nature"
3,Atelier de poterie artisanale,Découvrez le travail de l'argile et la création de poterie artisanale lors de cet atelier manuel relaxant.,Créatif & Culture,Faible,Toutes,"manuel, argile, détente, intérieur, solo"
4,Randonnée nocturne et astronomie,Marche en montagne sous les étoiles avec un guide pour observer l'espace et la nature nocturne.,Nature & Découverte,Moyen,Été/Automne,"étoiles, marche, nuit, espace, nature"
5,Vol en montgolfière au lever du soleil,Admirez le lever du soleil et le panorama exceptionnel depuis le ciel lors d'un vol calme.,Aventure & Détente,Faible,Printemps/Été,"ciel, panorama, insolite, couple, matin"
6,Initiation à l'apnée en lac,Plongez dans les profondeurs d'un lac et apprenez à contrôler votre respiration dans l'eau.,Aventure & Sport,Intense,Été,"eau, respiration, sport, nature, adrénaline"
7,Création de son propre parfum,Un atelier luxueux pour composer votre propre odeur et parfum personnalisé.,Créatif & Culture,Faible,Toutes,"odeur, luxe, intérieur, solo, manuel"
8,Bivouac hivernal en raquettes,"Aventure extrême dans la neige en montagne, incluant la marche en raquettes et la survie dans le froid.",Aventure & Sport,Intense,Hiver,"neige, froid, montagne, survie, sport"
9,Dégustation de vins dans une grotte,Découvrez des vins d'exception dans une grotte souterraine lors d'une dégustation en groupe.,Gastronomie,Faible,Toutes,"vin, souterrain, insolite, groupe, dégustation"
10,Balade en chiens de traîneau,Balade hivernale en famille tirée par des animaux passionnés dans la neige de la montagne.,Nature & Découverte,Moyen,Hiver,"animaux, neige, hiver, famille, nature"
11,Canoë-kayak au coucher du soleil,Pagayez sur la rivière au coucher du soleil pour une expérience d'eau relaxante et sportive.,Nature & Sport,Moyen,Été,"eau, rivière, soleil, sport, détente"
12,Atelier cuisine locale et sauvage,Apprenez à cuisiner avec des plantes sauvages trouvées dans la nature lors d'un atelier gastronomique.,Gastronomie & Nature,Faible,Printemps/Été,"cuisine, plantes, nature, groupe, manuel"
13,Nuit dans un igloo,Dormez dans la neige à l'intérieur d'un igloo pour une nuit insolite dans le froid.,Nature & Insolite,Moyen,Hiver,"neige, froid, insolite, couple, montagne"
14,Initiation à la forge et coutellerie,Travaillez le métal et le feu pour forger votre propre couteau artisanal.,Créatif & Artisanat,Moyen,Toutes,"métal, feu, manuel, artisanat, intérieur"
15,Saut à l'élastique depuis un viaduc,Vivez l'adrénaline pure du vide en sautant depuis un pont ou un viaduc extrême.,Aventure & Frissons,Moyen,Printemps/Été,"vide, adrénaline, extrême, hauteur, solo"
16,Retraite yoga et méditation en monastère,Trouvez le zen et le calme spirituel lors d'une retraite de méditation dans un monastère.,Détente & Bien-être,Faible,Toutes,"zen, calme, spirituel, intérieur, groupe"
17,Chasse au trésor urbaine (Escape Game),Résolvez des énigmes en groupe lors d'une chasse au trésor urbaine très fun en ville.,Découverte & Jeu,Moyen,Toutes,"ville, énigmes, groupe, fun, marche"
18,Atelier d'apiculture (découverte abeilles),Découvrez le monde des abeilles et la fabrication du miel en pleine nature avec votre famille.,Nature & Découverte,Faible,Printemps/Été,"animaux, miel, nature, famille, apprentissage"
19,Stage de photographie animalière,Apprenez la patience et la photographie pour capturer des animaux sauvages en pleine nature.,Nature & Créatif,Moyen,Toutes,"photo, animaux, patience, nature, apprentissage"
20,Conduite d'une motoneige,Conduisez un moteur puissant sur la neige à grande vitesse pour une aventure d'hiver pleine d'adrénaline.,Aventure & Sport,Moyen,Hiver,"vitesse, neige, moteur, adrénaline, montagne"
